Number of Records,Year,Marriage Rate,State,State_name
1,2006,5.7,MS,Mississippi
1,2006,7.4,MT,Montana
1,2006,7.3,NC,North Carolina
1,2006,6.7,ND,North Dakota
1,2006,6.8,NE,Nebraska
1,2006,7.2,NH,New Hampshire
1,2006,5.5,NJ,New Jersey
1,2006,6.8,NM,New Mexico
1,2006,52.1,NV,Nevada
1,2006,6.9,NY,New York
1,2006,6.3,OH,Ohio
1,2006,7.3,OK,Oklahoma
1,2006,7.3,OR,Oregon
1,2006,5.7,PA,Pennsylvania
1,2006,6.6,RI,Rhode Island
1,2006,7.8,SC,South Carolina
1,2006,8,SD,South Dakota
1,2006,10.6,TN,Tennessee
1,2006,7.6,TX,Texas
1,2006,9.2,UT,Utah
1,2006,7.8,VA,Virginia
1,2006,8.6,VT,Vermont
1,2006,6.5,WA,Washington
1,2006,6,WI,Wisconsin
1,2006,7.3,WV,West Virginia
1,2006,9.3,WY,Wyoming
1,2007,8.5,AK,Alaska
1,2007,8.9,AL,Alabama
1,2007,12,AR,Arkansas
1,2007,6.4,AZ,Arizona
1,2007,6.2,CA,California 1
1,2007,7.1,CO,Colorado
1,2007,5.5,CT,Connecticut
1,2007,5.7,DC,Delaware
1,2007,4.2,DE,District of Columbia
1,2007,8.5,FL,Florida
1,2007,6.8,GA,Georgia
1,2007,20.8,HI,Hawaii
1,2007,6.6,IA,Iowa
1,2007,10,ID,Idaho
1,2007,6.1,IL,Illinois
1,2007,7,IN,Indiana
1,2007,6.8,KS,Kansas
1,2007,7.8,KY,Kentucky
1,2007,7.5,LA,Louisiana
1,2007,5.9,MA,Massachusetts
1,2007,6.5,MD,Maryland
1,2007,7.4,ME,Maine
1,2007,5.7,MI,Michigan
1,2007,5.8,MN,Minnesota
1,2007,6.9,MO,Missouri
1,2007,5.4,MS,Mississippi
1,2007,7.5,MT,Montana
1,2007,7,NC,North Carolina
1,2007,6.6,ND,North Dakota
1,2007,6.8,NE,Nebraska
1,2007,7.1,NH,New Hampshire
1,2007,5.4,NJ,New Jersey
1,2007,5.6,NM,New Mexico
1,2007,48.6,NV,Nevada
1,2007,6.8,NY,New York
1,2007,6.1,OH,Ohio
1,2007,7.3,OK,Oklahoma
1,2007,7.2,OR,Oregon
1,2007,5.7,PA,Pennsylvania
1,2007,6.4,RI,Rhode Island
1,2007,7.9,SC,South Carolina
1,2007,7.8,SD,South Dakota
1,2007,10.1,TN,Tennessee
1,2007,7.4,TX,Texas
1,2007,9.6,UT,Utah
1,2007,7.5,VA,Virginia
1,2007,8.5,VT,Vermont
1,2007,6.4,WA,Washington
1,2007,5.7,WI,Wisconsin
1,2007,7.3,WV,West Virginia
1,2007,9,WY,Wyoming
1,2008,8.4,AK,Alaska
1,2008,8.6,AL,Alabama
1,2008,10.6,AR,Arkansas
1,2008,6,AZ,Arizona
1,2008,6.7,CA,California 1
1,2008,7.4,CO,Colorado
1,2008,5.4,CT,Connecticut
1,2008,5.5,DC,Delaware
1,2008,4.1,DE,District of Columbia
1,2008,8,FL,Florida
1,2008,6,GA,Georgia
1,2008,19.1,HI,Hawaii
1,2008,6.5,IA,Iowa
1,2008,9.5,ID,Idaho
1,2008,5.9,IL,Illinois
1,2008,8,IN,Indiana
1,2008,6.7,KS,Kansas
1,2008,7.9,KY,Kentucky
1,2008,6.8,LA,Louisiana
1,2008,5.7,MA,Massachusetts
1,2008,5.9,MD,Maryland
1,2008,7.4,ME,Maine
1,2008,5.6,MI,Michigan
1,2008,5.4,MN,Minnesota
1,2008,6.8,MO,Missouri
1,2008,5.1,MS,Mississippi
1,2008,7.6,MT,Montana
1,2008,6.9,NC,North Carolina
1,2008,6.5,ND,North Dakota
1,2008,6.9,NE,Nebraska
1,2008,6.8,NH,New Hampshire
1,2008,5.4,NJ,New Jersey
1,2008,4,NM,New Mexico
1,2008,42.3,NV,Nevada
1,2008,6.6,NY,New York
1,2008,6,OH,Ohio
1,2008,7.1,OK,Oklahoma
1,2008,6.9,OR,Oregon
1,2008,5.5,PA,Pennsylvania
1,2008,6.1,RI,Rhode Island
1,2008,7.3,SC,South Carolina
1,2008,7.7,SD,South Dakota
1,2008,9.4,TN,Tennessee
1,2008,7.3,TX,Texas
1,2008,9,UT,Utah
1,2008,7.2,VA,Virginia
1,2008,7.9,VT,Vermont
1,2008,6.3,WA,Washington
1,2008,5.6,WI,Wisconsin
1,2008,7.1,WV,West Virginia
1,2008,8.6,WY,Wyoming
1,2009,7.8,AK,Alaska
1,2009,8.3,AL,Alabama
1,2009,10.7,AR,Arkansas
1,2009,5.6,AZ,Arizona
1,2009,5.8,CA,California 1
1,2009,6.9,CO,Colorado
1,2009,5.9,CT,Connecticut
1,2009,5.4,DC,Delaware
1,2009,4.7,DE,District of Columbia
1,2009,7.5,FL,Florida
1,2009,6.6,GA,Georgia
1,2009,17.2,HI,Hawaii
1,2009,7,IA,Iowa
1,2009,8.9,ID,Idaho
1,2009,5.7,IL,Illinois
1,2009,7.9,IN,Indiana
1,2009,6.4,KS,Kansas
1,2009,7.6,KY,Kentucky
1,2009,7.1,LA,Louisiana
1,2009,5.6,MA,Massachusetts
1,2009,5.8,MD,Maryland
1,2009,7.1,ME,Maine
1,2009,5.4,MI,Michigan
1,2009,5.3,MN,Minnesota
1,2009,6.5,MO,Missouri
1,2009,4.8,MS,Mississippi
1,2009,7.3,MT,Montana
1,2009,6.6,NC,North Carolina
1,2009,6.4,ND,North Dakota
1,2009,6.6,NE,Nebraska
1,2009,6.5,NH,New Hampshire
1,2009,5,NJ,New Jersey
1,2009,5,NM,New Mexico
1,2009,40.3,NV,Nevada
1,2009,6.5,NY,New York
1,2009,5.8,OH,Ohio
1,2009,6.9,OK,Oklahoma
1,2009,6.6,OR,Oregon
1,2009,5.3,PA,Pennsylvania
1,2009,5.9,RI,Rhode Island
1,2009,7.3,SC,South Carolina
1,2009,7.3,SD,South Dakota
